sku,allow_large_letter,packed_weight_g,dim_h_mm,dim_w_mm,dim_d_mm
10080198872418,FALSE,2700.0,,,
WFR-150-CCN-P6,FALSE,800.0,,,
COK-100-CCP-P26,FALSE,4200.0,,,
SPD-350-WHT-P6,FALSE,800.0,,,
BRB-030-HZL-P2,FALSE,850.0,,,
BRB-030-HZL-P3,FALSE,380.0,,,
WR-AX0F-KVP5,FALSE,1500.0,,,
WFR-150-CCN-P26,FALSE,3900.0,,,
10075920142113,FALSE,1999.0,,,
BRB-030-YAP-P10,TRUE,400.0,,,
WFR-150-CCN-P4,FALSE,600.0,,,
WFR-150-CCN-P3,FALSE,450.0,,,
WFR-150-CHK-P4,FALSE,600.0,,,
CHK-200-DXB-P12,FALSE,2400.0,,,
WFR-150-CCN-P2,FALSE,300.0,,,
WFR-150-CHK-P2,FALSE,300.0,,,
SPD-350-HZL-P12,FALSE,7200.0,,,
WFR-150-CHK-P3,FALSE,450.0,,,
WFR-150-CHK-P26,FALSE,3900.0,,,
BRB-030-HZL-P4,FALSE,800.0,,,
CHK-200-DXB-P6,FALSE,1200.0,,,
CHK-200-DXB-P3,FALSE,1900.0,,,
10072344305502,FALSE,2000.0,,,
CHK-200-DXB-P4,FALSE,1100.0,,,
CHK-200-DXB-P2,FALSE,400.0,,,
CHK-200-DXB-P1,FALSE,200.0,,,
COK-150-DGV-P18,FALSE,2700.0,,,
SND-176-VNL-P12,FALSE,2700.0,,,
COK-110-DPM-P8,FALSE,3450.0,,,
10071446832315,FALSE,1999.0,,,
BRB-030-YCH-P32,FALSE,3000.0,,,
BRB-030-CRN-P7,FALSE,2500.0,,,
BRB-030-YST-P3,TRUE,300.0,,,
BRB-030-YAP-P4,TRUE,300.0,,,
COK-150-DGV-P2,FALSE,300.0,,,
COK-150-DGV-P1,FALSE,150.0,,,
COK-150-DGV-P5,FALSE,750.0,,,
COK-135-GOJ-P12,FALSE,1620.0,,,
COK-100-PBC-P4,FALSE,8900.0,,,
COK-110-DPM-P26,FALSE,4200.0,,,
COK-135-HZL-P12,FALSE,1620.0,,,
COK-100-CPM-P6,FALSE,1400.0,,,
COK-100-PBC-P3,FALSE,500.0,,,
COK-100-PBC-P2,FALSE,3900.0,,,
315934205311,FALSE,3000.0,,,
BRB-030-HZL-P12,FALSE,360.0,,,
COK-110-DPM-P6,FALSE,1600.0,,,
CAK-400-MRB-P8,FALSE,3700.0,,,
COK-150-PNT-P12,FALSE,1800.0,,,
COK-150-CCN-P12,FALSE,1800.0,,,
CAK-200-CNW-P8,FALSE,200.0,,,
CHK-040-MCP-P12,FALSE,480.0,,,
COK-100-STP-P3,FALSE,600.0,,,
GMY-075-BER-P8,FALSE,600.0,,,
GMY-075-DRP-P8,FALSE,600.0,,,
COK-100-STP-P8,FALSE,1000.0,,,
COK-100-STP-P6,FALSE,2200.0,,,
CHK-040-BTN-P12,FALSE,480.0,,,
CHK-040-PMC-P12,FALSE,480.0,,,
COK-110-DPM-P3,FALSE,700.0,,,
SWT-075-CHF-P8,FALSE,600.0,,,
SWT-075-BTR-P16,FALSE,1200.0,,,
SWT-075-LMN-P16,FALSE,1200.0,,,
SWT-075-LMN-P8,FALSE,600.0,,,
SWT-075-MNT-P16,FALSE,1200.0,,,
SWT-075-MNT-P5,FALSE,500.0,,,
COK-135-BTR-P12,FALSE,1620.0,,,
COK-130-CHP-P12,FALSE,1560.0,,,
COK-100-PBC-P8,FALSE,1900.0,,,
GMY-075-COL-P8,FALSE,600.0,,,
CAK-400-MRB-P3,FALSE,1300.0,,,
SND-136-CCC-P6,FALSE,3900.0,,,
SWT-075-STR-P16,FALSE,1200.0,,,
COK-100-STP-P4,FALSE,3000.0,,,
SWT-075-CAP-P16,FALSE,1200.0,,,
SWT-075-TFE-P8,FALSE,600.0,,,
SWT-075-TFE-P4,FALSE,300.0,,,
CHK-075-WTS-P15,FALSE,1125.0,,,
SWT-075-STR-P8,FALSE,600.0,,,
SWT-075-CHF-P4,FALSE,300.0,,,
SWT-075-CAP-P8,FALSE,600.0,,,
SWT-075-CHF-P16,FALSE,1200.0,,,
SWT-075-BTR-P8,FALSE,600.0,,,
COK-100-CPM-P2,FALSE,500.0,,,
SWT-075-BTR-P4,FALSE,300.0,,,
WFR-150-MCH-P22,FALSE,3500.0,,,
CAK-450-FFR-P4,FALSE,2000.0,,,
CAK-200-CNW-P4,FALSE,1000.0,,,
COK-110-DPM-P4,FALSE,1600.0,,,
COK-110-DPM-P2,FALSE,300.0,,,
SND-136-CCC-P2,FALSE,650.0,,,
GMY-075-COL-P16,FALSE,1700.0,,,
GMY-075-DRP-P16,FALSE,1700.0,,,
SWT-075-MX3-P1,FALSE,560.0,,,
COK-100-CPM-P8,FALSE,1900.0,,,
COK-100-CPM-P3,FALSE,700.0,,,
COK-100-PBC-P6,FALSE,800.0,,,
SND-136-CCC-P4,FALSE,900.0,,,
BRB-030-APC-P3,TRUE,600.0,,,
CAK-400-MRB-P4,FALSE,1950.0,,,
CAK-200-LMN-P3,FALSE,1600.0,,,
SND-136-CCC-P1,FALSE,900.0,,,
BRB-030-HZL-P6,TRUE,180.0,,,
BRB-030-YST-P10,FALSE,300.0,,,
BRB-030-CRN-P6,TRUE,180.0,,,
CAK-400-MRB-P2,FALSE,1200.0,,,
CAK-200-LMN-P2,FALSE,900.0,,,
CAK-200-LMN-P8,FALSE,1990.0,,,
